WKT,name,description
"POINT (108.5342487 -7.3706874)",Banjar,
"POINT (107.6215321 -7.1340702)",Bandung Regency,
"POINT (107.4919767 -6.865221399999999)",West Bandung Regency,
"POINT (107.1735638 -6.366722999999999)",Bekasi Regency,
"POINT (106.6291304 -6.5517758)",Bogor Regency,
"POINT (108.3492543 -7.332077300000001)",Ciamis Regency,
"POINT (107.1957203 -7.3579773)",Cianjur Regency,
"POINT (108.4750846 -6.6898876)",Cirebon,
"POINT (107.763621 -7.501220399999999)",Garut Regency,
"POINT (108.1903059 -6.455732599999999)",Indramayu Regency,
"POINT (108.5700636 -7.0138053)",Kuningan Regency,
"POINT (107.3375791 -6.3227303)",Karawang,
"POINT (108.2852049 -6.7790605)",Majalengka Regency,
"POINT (108.4988269 -7.615061099999999)",Pangandaran Regency,
"POINT (107.4321959 -6.5649241)",Purwakarta Regency,
"POINT (107.763621 -6.3487617)",Subang Regency,
"POINT (106.9474101 -6.8791499)",Sukabumi,
"POINT (108.1428669 -7.6513306)",Tasikmalaya Regency,
"POINT (107.6191228 -6.9174639)",Bandung,
"POINT (106.9755726 -6.2382699)",Bekasi,
"POINT (106.8060388 -6.597146899999999)",Bogor City,
"POINT (107.5413039 -6.8840816)",Cimahi,
"POINT (108.5523164 -6.7320229)",Cirebon,
"POINT (108.447017 -6.732895)",Depok,
"POINT (106.9299579 -6.9277361)",Sukabumi,
"POINT (107.9531836 -6.832858)",Sumedang Regency,
"POINT (108.214028 -7.378818600000001)",Tasikmalaya Regency,
