WKT,name,description
"POINT (112.9136695 -7.038374999999999)",Bangkalan Regency,
"POINT (114.3691416 -8.2190944)",Banyuwangi Regency,
"POINT (112.2200091 -8.1308657)",Blitar Regency,
"POINT (111.7614661 -7.317462900000001)",Bojonegoro Regency,
"POINT (113.9060624 -7.9673906)",Bondowoso Regency,
"POINT (112.5721881 -7.155029099999999)",Gresik Regency,
"POINT (113.6680747 -8.1844859)",Jember Regency,
"POINT (112.28609 -7.5740867)",Jombang Regency,
"POINT (112.1907122 -7.8232397)",Kediri Regency,
"POINT (112.3337769 -7.126926099999999)",Lamongan Regency,
"POINT (113.1441558 -8.0943571)",Lumajang Regency,
"POINT (111.6183755 -7.609330600000001)",Madiun Regency,
"POINT (111.356045 -7.6433138)",Magetan Regency,
"POINT (112.7152125 -8.242208999999999)",Malang Regency,
"POINT (112.4768287 -7.563831)",Mojokerto Regency,
"POINT (111.9045541 -7.594350700000001)",Nganjuk Regency,
"POINT (111.3321974 -7.460986999999998)",Ngawi Regency,
"POINT (111.1414226 -8.126331)",Pacitan Regency,
"POINT (113.5252319 -7.1050857)",Pamekasan Regency,
"POINT (112.858217 -7.785996099999999)",Pasuruan Regency,
"POINT (111.4696322 -7.8650759)",Ponorogo Regency,
"POINT (113.4776098 -7.871756199999999)",Probolinggo Regency,
"POINT (113.2394452 -7.0402326)",Sampang Regency,
"POINT (112.6675398 -7.472613399999998)",Sidoarjo Regency,
"POINT (114.1914951 -7.7888522)",Situbondo Regency,
"POINT (113.9060624 -6.925399899999999)",Sumenep Regency,
"POINT (111.6183755 -8.182411199999999)",Trenggalek Regency,
"POINT (111.9045541 -8.0843211)",Tulungagung Regency,
"POINT (112.0416754 -6.8949099)",Tuban,
"POINT (112.5334492 -7.883064800000001)",Batu,
"POINT (112.1609056 -8.095462699999999)",Blitar,
"POINT (112.0178286 -7.848015599999999)",Kediri,
"POINT (111.5300159 -7.6310587)",Madiun,
"POINT (112.6326321 -7.9666204)",Malang,
"POINT (112.4401329 -7.4704747)",Mojokerto,
"POINT (112.8999225 -7.6469193)",Pasuruan,
"POINT (113.2037131 -7.776422600000001)",Probolinggo,
"POINT (112.7520883 -7.2574719)",Surabaya,
